index,source,source link,hosted link,screenshot link
1,BWellsMC,https://twitter.com/BWellsMC/status/1284353284430430209,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259741/portland-protests/1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259741/portland-protests/1_screenshot.png
2,BWellsMC,https://twitter.com/BWellsMC/status/1284371613580800001,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259741/portland-protests/2.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259744/portland-protests/2_screenshot.png
3,MichaelARanger1,https://twitter.com/MichaelARanger1/status/1284934523239624704,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259742/portland-protests/3.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259743/portland-protests/3_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259743/portland-protests/3.2.jpg,
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259742/portland-protests/3.3.jpg,
4,bartholomewali,https://twitter.com/bartholomewtali/status/1284322728019804160,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259745/portland-protests/4.png,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259743/portland-protests/4_screenshot.png
5,LidiaMonroe,https://twitter.com/LidiaMonroe/status/1284643007858380800,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259741/portland-protests/5.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259745/portland-protests/5_screenshot.png
6,WerStrongrr,https://twitter.com/WerStrongrr/status/1284270563708424193,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259741/portland-protests/6.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259741/portland-protests/6_screenshot.png
7,sethanikeem,https://twitter.com/sethanikeem/status/1284385618429083649,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259742/portland-protests/7.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259742/portland-protests/7_screenshot.png
8,simcha5772,https://twitter.com/simcha5772/status/1285034857144279040,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259743/portland-protests/8.1.jpg,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259743/portland-protests/8_screenshot.png
,,,https://res.cloudinary.com/memeticinfluence/image/upload/v1595259743/portland-protests/8.2.png,
